"sku","fnsku","asin","product-name","condition","beginning-quantity","ending-quantity","received","returned","found","sold","removed","lost","disposed","other","discrepant-quantity"
"TW-LMBI-SM1B","X001ABBQ77","B074M9QXCZ","Prestige Deluxe Alpha Stainless Steel Pressure Cooker - 3 Litre Pack","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"61-GIRT-7ARG","X001ABBR2L","B087RS7VBB","Prestige Nakshatra Alpha Stainless Steel Body 2 Litre Straight Wall Pressure Cooker","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"3K-1V9K-DBFH","X001ABBU9V","B00M2WPISI","Prestige Nakshatra Plus Aluminium Pressure Cooker, 2 Litres","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"OU-S00F-GZFD","X001ABBUWX","B08HN9VY3M","Prestige Popular Induction Max Aluminium Pressure Cooker 5.0 Liter","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"BB-LK1U-O44U","X001ABDVTX","B07XG2JQGF","Samsung Galaxy A71 (Black, 8GB RAM, 128GB Storage) Without Offer","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"NV-KCIN-R1Z8","X001ABMN83","B019O6OFUQ","Prestige Clip On Hard Anodised Pressure Cooker, 3 litres, Silver","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"D8-P8TO-66DS","X001ABMNUB","B01C2SYF9E","Prestige Clip On Hard Anodized Aluminum Kadai Pressure Cooker with Glass Lid Accessory, 2-Pieces, Charcoal Black","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"TN-QDI8-PH27","X001ABMOHN","B019O6OFYM","Prestige Clip On Hard Anodised Pressure Cooker, 5 litres, Silver","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"7F-HD8U-LMWY","X001ABMQ67","B08DDDRWZP","Prestige Nakshatra Cute Duo Svachh Hard Anodised Pressure Cooker, 2.0L","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"XZ-OVNV-E9KY","X001ABMQJJ","B0862HD268","Prestige Svachh, 10732, 2 L, Straight Wall Aluminium Pressure Cooker, with deep lid for Spillage Control","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"FN-E7QJ-C6C8","X001ABMQQ7","B08DDD7GDP","Prestige Apple Duo Plus Svachh Hard Anodised Pressure Cooker, 2.0 L","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"RY-7YM6-CJ53","X001ABMRJ3","B08DDFDJ72","Prestige Apple Duo Plus Svachh Hard Anodised Pressure Cooker, 3.0 L","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"GF-MS8N-5D7B","X001ABMRQL","B0862GHPB7","Prestige Svachh, 10731, 5 L, Straight Wall Aluminium Pressure Cooker, with deep lid for Spillage Control","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"V4-VFU3-KC7F","X001ABMTFZ","B0844BKBL4","Prestige Nakshatra Plus Svachh 3 litre Aluminium Straight wall Inner Lid Pressure Cooker","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"RW-AP99-QF8K","X001ABMTMN","B08D71HLVQ","Prestige Svachh Lite Stainless Steel Pressure Cooker, with Stain Less Steel Starch Filter, 6.5 LTR","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"9E-BL14-MWXW","X001ABMTRX","B08BD67MQ1","Prestige Svachh, 10783, 5 Ltr & 3 L, Pressure Cooker Combo, with Deep Lid for Spillage Control","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"DC-R79R-BNVO","X001ABMUNV","B085TT4C8T","Prestige Svachh, 20245, 3 L, Nakshatra Alpha Straight Wall, with deep lid for Spillage Control","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"NQ-BRJ4-6Z0M","X001ABNN1J","B01684ONTA","Prestige Clip On Aluminium Pressure Cooker, 5 Litres, Charcoal Black","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"4J-IWN3-53FB","X001ABNSW3","B07QZBDYXK","Prestige Popular aluminium Pressure Cooker, 3 Litres, Silver","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"ES-KP6N-N0RH","X001ABNUFN","B07YCP92VF","Prestige Aluminum SS Pressure Cooker 3L and Omni Tawa 250mm Pack ( Silver )","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"Y1-W8DH-X4YT","X001ABNW0L","B0844BK179","Prestige Nakshatra Plus Svachh Aluminium 5 litre Inner lid Pressure Handi","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"XR-8LAK-15Q5","X001ABNWYH","B085YGBVDV","Prestige Svachh, 10753, 5 L, Nakshatra Duo Red Handi, with deep lid for Spillage Control","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"U8-WJVJ-JI1M","X001ABNYTZ","B08DDFH89Q","Prestige Nakshatra Cute Svachh Aluminium Pressure Cooker, 3.0L (Polished)","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"7Y-G8OU-9B46","X001ABO133","B00QWQ0J4I","Prestige Nakshatra Alpha Stainless Steel Pressure Cooker, 7 Litres, Stainless Steel","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"XF-M5I0-WKVM","X001ABOMYL","B07YDM4KGS","Prestige Combo Set Clip On Stainless Steel Pressure Cooker with Glass Lid (5 litres, Set of 2, Metallic Silver) and Electric Kettle PKOSS - 1800watts, Steel (1.8Ltr), Black Combo","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"US-CXWY-HJ0C","X001ABONYZ","B00AFQZ5FO","Prestige Deluxe Plus Induction Base Aluminium Pressure Cooker, 3 Litres, Silver","NewItem","0","0","2","1","0","-3","0","0","0","0","0"
"LU-UHO3-OXIO","X001ABOOJ9","B00QWPXI3S","Prestige Popular Plus Induction Base Junior Deep Pan, aluminium pressure cooker, 4.1 litres,Silver","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"L7-QTSW-XA9T","X001ABOQH9","B07YCQSS88","Prestige Stainless Steel Special Pack (SS Popular 5L and Omni Tawa 280mm) - Silver","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"AW-GD9U-9DDV","X001ABORN7","B0843YV6H1","Prestige Svachh Deluxe Alpha 2.0 Litre Stainless Steel Pressure Cooker","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"PG-493H-8W0K","X001ABOSR7","B0844B3NR6","Prestige Nakshatra Plus Svachh 5 litre Aluminium Straight wall Inner Lid Pressure Cooker","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"8P-91QI-O73I","X001ABOUBV","B081GKDLCG","Prestige Svachh 3.5 Litre Pressure Cooker with Hard Anodized Body (Black)","NewItem","0","12","12","2","0","-2","0","0","0","0","0"
"WU-OF3X-ESR5","X001ABOWDR","B0844BKBL2","Prestige Nakshatra Plus Svachh Aluminium 2 litre Inner lid Pressure Handi","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"63-66Z5-AD6I","X001ABPAF1","B07D957RRH","Prestige Popular Stainless Steel 3Ltrs Pressure Cooker","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"N6-83TN-H3BZ","X001ABPCQX","B01684OLBA","Prestige Nakshatra Aluminium Pressure Cooker, 2 Litres, Red","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"SG-XHXL-QYAF","X001ABPEGB","B08K97QPNM","Prestige SS Platina Popular Cookware Sauce Pan, 140 mm","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"32-8WQ9-O69S","X001ABPFJR","B077P37PVV","Prestige Popular Stainless Steel Pressure Cooker - 3 Litre","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"9C-96TD-C2R7","X001ABPIJ9","B00O2PCX0E","Prestige Hard Anodised Cookware Kadai, 240 mm, Black","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"OE-NPY0-YBT0","X001ABPIOJ","B00O2PCVFQ","Prestige Hard Anodised Cookware Kadai, 200 mm, Black","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"75-7H53-5505","X001ABPJ25","B0746QGTY2","Prestige Non-Stick 265mm Hard Anodized Paratha Tawa","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"VE-V5BB-WSQE","X001ABPLRX","B00O2PCS5O","Prestige Hard Anodised Cookware Saute Pan, 200 mm, Black","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"NU-DTDH-LNGS","X001ABPMZT","B07GQ4D78F","Prestige Omega Deluxe Omni Tawa 250","NewItem","0","0","2","0","0","-2","0","0","0","0","0"
"89-EGES-ND4E","X001ABPN3Z","B01KZVPJ9A","Prestige Omega Gold Induction Base Non-Stick Aluminum Concave Tawa, 275 mm, Metallic Red","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"3E-TLBT-NJER","X001ABPNQ7","B074M9QX9M","Prestige Hard Anodised Roti Tawa - Induction Base (225 mm)","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"6A-BZG8-14B4","X001ABPO6B","B07HJGB4V1","Prestige Induction Base Hard Anodised Aluminium Kadai with Lid, 300mm, Black","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"72-6177-ODQO","X001ABPREZ","B07Y5F6K65","Prestige Classic Idli Cooker 4 Plate","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"P3-055M-I296","X001ABPS0X","B01KZVPQKM","Prestige Platina Induction Base Stainless Steel Sauce Pan, 160mm/1.5 litres, Metallic Steel","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"FA-1YZI-C9WQ","X001ABPTNJ","B01KZVPR2Y","Prestige Platina Induction Base Stainless Steel Sauce Pan, 140mm/1 Litre, Metallic Steel","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"VI-6H3J-B3VA","X001ABPTWF","B07MYFCD1M","Prestige Tri Ply Honeycomb Kadai 280 mm with Lid","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"2G-1OKO-QC5A","X001ABPV9B","B08KDR5BGJ","Prestige Platina Popular SS Casserole, 240 mm","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"2Z-MGHZ-50QD","X001ABPWCR","B07MYDQK12","Prestige Tri Ply Honeycomb Fry Pan 280 mm with Lid","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"8D-EUH9-0UPB","X001ABPY5H","B0746Q8MFW","Prestige Aluminum 1.5L Nakshatra Pressure Cooker","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"S6-0G03-UZIR","X001ABQ3IJ","B00LP5BNJ6","Prestige Hard Anodised Tadka Pan, 100 mm","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"AF-SYV1-C4B7","X001ABS4MR","B0862HZ4LW","Prestige Svachh, 20241, 3 L, Hard Anodised Pressure Cooker, with deep lid for Spillage Control","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"7G-KUC3-LY7U","X001ABS4XL","B0862HR6D5","Prestige Svachh, 20229, 3 L, Stainless Steel Pressure Cookers, with deep lid for Spillage Control","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"70-KI7U-DO6J","X001ABS55D","B08456QW44","Prestige Svachh Clip-on Mini Hard Anodized 2 Litre Pressure Cooker","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"I4-QT11-V33A","X001ABS5HB","B01C2SXQGM","Prestige Premia Glass 2 Burner Contemporary Gas Stove, Brown","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"M9-2GJ9-81CN","X001ABS5HV","B01C2SYI9G","Prestige Premia Glass 4 Burner Contemporary Gas Stove, Brown","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"I0-LU6Q-82U8","X001ABS68T","B0845613ZL","Prestige Svachh, 20237, 2 L, Stainless Steel Pressure Cookers, with deep lid for Spillage Control","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"RJ-Z21B-15VE","X001ABS7P1","B00EICEXYK","Prestige Deluxe Plus Induction Base Junior Pan Aluminium Pressure Cooker, 3 Litres, Silver","NewItem","0","0","0","0","0","0","0","0","0","0","0"
