"Product Name","Merchant SKU","Asin","Condition (New/Old)","Supplier Name (unassigned, if no supplier information provided by you)","Recommended Fulfilment Center (FC Code)","Sales contribution for the zone in INR (Sales in last 30 days)","Number of units sold from the zone ( in last 30 days)  ","Days of supply remaining for the zone ( In days)","No. of Units instock in the zone ( in units)","Low in Stock/ Out of Stock Alert","Original Recommended quantity(in Units)","Original Weeks cover recommended (in weeks)","Final Recommended quantity ( adjusted to available capacity at FC in Units)","Final Weeks cover recommended (adjusted to available capacity at FC in weeks)","Order to supplier date (DD/MM/YYYY )","Ship to FC date (DD/MM/YYYY)","Zone Name","Alternate Fulfillment Center(s) to inbound","Past Recommendations accuracy % (Average in %)"
"Samsung Galaxy S20 FE (Cloud Mint, 8GB RAM, 128GB Storage) Without Offer","HU-MVQW-FBRW","B086KF4FZF","New","unassigned","BOM7","346330.53","11","1","1","low_stock","6","4","6","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Sujata SuperMix SM Mixer Grinder, 900W, 3 Jars (White)","IC-XNIP-CENO","B01MFA2KUW","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","6","4","6","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Sujata SuperMix SM Mixer Grinder, 900W, 3 Jars (White)","JC-9ASN-OTGU","B01MFA2KUW","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","6","4","6","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Maharaja Whiteline MX-220 1000 W Ultramax HD 3 Stainless Steel Jar Mixer Grinder (Black with Chrome Finish)","LC-EQQQ-GJ3V","B0835JYNY4","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","6","4","6","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","91.4"
"Maharaja Whiteline MX-220 1000 W Ultramax HD 3 Stainless Steel Jar Mixer Grinder (Black with Chrome Finish)","LC-EQQQ-GJ3V","B0835JYNY4","New","unassigned","BOM7","13352.56","4","0","0","out_of_stock","6","4","6","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","91.4"
"Panasonic Single Line 2.4 KX-TG3411SX Digital Cordless Phone (Black)","QS-PMP0-XC2E","B008LNBK3E","New","unassigned","BLR4","5707.62","3","0","","out_of_stock","6","4","6","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Maharaja Whiteline MX-220 1000 W Ultramax HD 3 Stainless Steel Jar Mixer Grinder (Black with Chrome Finish)","SV-NGY5-GP7L","B0835JYNY4","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","6","4","6","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","91.4"
"Bajaj Shakti Plus Storage 10-Litre Vertical Water Heater (Ivory)","SV-NIEJ-M7PX","B009P2LDVO","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","6","4","6","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","83.3"
"Bajaj Shakti Plus Storage 10-Litre Vertical Water Heater (Ivory)","WR-1DSU-IOXQ","B009P2LDVO","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","6","4","6","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Prestige Omega Select Plus Non-Stick Concave Tawa, 25cm,Black","ubngfaq5ej","B00AYA876A","New","unassigned","BOM7","13336.17","22","1","0","out_of_stock","6","4","6","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Prestige PKNSS Electric Kettle, Silver, 1.0 L","0N-8MYQ-7DUK","B08HQNH2LS","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","5","4","5","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"OPPO Reno3 Pro (Midnight Black, 8GB RAM, 128GB Storage) Without Offer","2Y-DFMJ-9X4J","B07XF4SWJ9","New","unassigned","BOM7","501871.25","27","0","0","out_of_stock","5","4","5","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
