"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
"
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"14-Feb-2021 7:27:44 am UTC","15013882102","Order
","403-2120875-4269923","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560076","866.07","0","0","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"14-Feb-2021 7:32:30 am UTC","15013882102","Refund
","403-3691782-1070713","1W-9BHN-YSTS","realme Buds Air Neo True Wireless Headphone with mic, Bluetooth 5.0, Deep Bass, IPX4 Sweatproof (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Borsad","GUJARAT","388540","-2,050.85","-16.95","16.95","-369.15","0","0","20.51","342.67","0","53.10","0","-2,003.72"
"14-Feb-2021 7:45:24 am UTC","15013896932","Adjustment
","408-6675041-3074763","1N-V2NN-FX2P","FBA Inventory Reimbursement - Customer Return","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","422.49","422.49"
"14-Feb-2021 7:51:38 am UTC","15013882102","Order
","402-9287564-6833909","T8-NE2D-X8VC","Wonderchef - 63152076 Aluminium Paniyarakkal, 23cm, Black","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","PUNE","MAHARASHTRA","412207","1,330.36","0","0","159.64","-6.65","-6.65","0","-202.19","-109.74","-35.40","0","1,129.37"
"14-Feb-2021 7:57:03 am UTC","15013882102","Refund
","405-0331466-0413150","EF-2PD9-UCGN","Samsung Metro 313 (SM-B313E, Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","VASAI VIRAR","MAHARASHTRA","401209","-1,902.54","-11.31","11.31","-342.46","0","0","19.03","132.46","0","35.40","0","-2,058.11"
"14-Feb-2021 8:02:38 am UTC","15013882102","Order
","408-3729493-7637157","QO-OETB-YAIF","BERGNER Alpine Forged Aluminium Non-Stick Kadhai with Glass Lid, 28 cm, 3.6 Liters, Induction Base, Grey., 28 cm, 3.6 ltr","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","howrah","west bengal","711102","1,204.46","0","0","144.54","0","0","-12.04","-183.07","-130.98","-35.40","0","987.51"
"14-Feb-2021 8:04:50 am UTC","15013882102","Refund
","403-9299142-7868331","05-BBOD-EEHZ","Syska HT800 Cordless Trimmer for Men (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MORADABAD","UTTAR PRADESH","244001","-691.53","-33.90","33.90","-124.47","0","0","6.92","73.18","0","29.50","0","-706.40"
"14-Feb-2021 8:14:57 am UTC","15013896932","Order
","171-7425902-3171543","39-B7FP-GHKY","Panasonic SR-WA10 2.7 L Rice Cooker, Red","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","NEW DELHI","DELHI","110068","1,474.58","67.80","0","277.62","0","0","-15.43","-112.92","-210.98","-35.40","0","1,445.27"
"14-Feb-2021 8:19:44 am UTC","15013882102","Order
","405-1933161-6073144","94-IB85-C22W","Bajaj Majesty 3L 3kW Instant Water Heater with 24 inches SS Connection Pipes Pair","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BHAVNAGAR","GUJARAT","364002","2,633.90","0","0","474.10","0","0","-26.34","-201.71","-187.62","-35.40","0","2,656.93"
"14-Feb-2021 8:20:06 am UTC","15013882102","Order
","171-5547585-2373109","4M-KK48-WR4U","Saregama Carvaan Mini 2.0 Bhakti- Music Player with Bluetooth/FM/AM/AUX (Orange)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BANGALORE","KARNATAKA","560070","1,686.44","0","0","303.56","0","0","-16.86","-199.60","-62.54","-35.40","0","1,675.60"
"14-Feb-2021 8:26:04 am UTC","15013896932","Order
","402-8694210-5666708","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","NAJIBABAD","UTTAR PRADESH","246763","422.88","33.90","-33.90","76.12","0","0","-4.23","-32.39","-88.50","-23.60","0","350.28"
"14-Feb-2021 8:26:44 am UTC","15013882102","Order
","408-6144881-5050748","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","LUDHIANA","PUNJAB","142022","422.88","0","0","76.12","0","0","-4.23","-32.39","-88.50","-23.60","0","350.28"
"14-Feb-2021 8:32:30 am UTC","15013896932","Order
","405-2991855-2966713","BC-3YV2-FIQ9","Prestige PKOSS 1.8-Litre 1500W Electric Kettle (can't be used to boil milk)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","PUNE","MAHARASHTRA","411028","825.42","0","0","148.58","0","0","-8.25","-63.21","-130.98","-17.70","0","753.86"
"14-Feb-2021 8:32:30 am UTC","15013896932","Order
","408-2852775-1980333","6X-FHML-S0RF","Wahl Professional 08466-424 Super Taper Professional Corded Clipper","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","CHANDIGARH","CHANDIGARH","160019","3,028.81","0","0","545.19","0","0","-30.29","-400.65","-109.74","-35.40","0","2,997.92"
