"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
"
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"14-Feb-2021 4:47:17 am UTC","15013882102","Order
","403-3574008-3485103","B2-6OFX-W8AD","Philips HL7756/00 Mixer Grinder, 750W, 3 Jars (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","KHARGONE","MADHYA PRADESH","451001","2,794.92","33.90","-33.90","503.08","-13.97","-13.97","0","-214.04","-173.46","-35.40","0","2,847.16"
"14-Feb-2021 4:47:59 am UTC","15013896932","Order
","405-1414666-7126726","GF-3KCS-4AID","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Black,","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","BIJNI","ASSAM","783390","2,897.46","33.90","-33.90","521.54","0","0","-28.97","-221.90","-152.22","-35.40","0","2,980.51"
"14-Feb-2021 4:52:03 am UTC","15013896932","Adjustment
","171-9934455-2576349","KR-DP2R-TVB6","FBA Inventory Reimbursement - Customer Return","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","1,236.85","1,236.85"
"14-Feb-2021 4:58:35 am UTC","15013882102","Order
","403-6259676-7296357","1N-V2NN-FX2P","Prestige PPBW 04 Barbeque","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NAMAKKAL","TAMIL NADU","637002","1,854.24","0","0","338.34","0","0","-18.79","-142.00","-182.22","-35.40","0","1,839.59"
"14-Feb-2021 5:06:13 am UTC","15013882102","Order
","406-8454276-8931546","1N-V2NN-FX2P","Prestige PPBW 04 Barbeque","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Coimbatore","TAMIL NADU","641006","1,854.24","0","0","333.76","0","0","-18.54","-142.00","-152.22","-35.40","0","1,839.84"
"14-Feb-2021 5:06:41 am UTC","15013882102","Order
","405-1968131-9413924","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560066","866.07","0","0","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"14-Feb-2021 5:06:51 am UTC","15013896932","Order
","407-3919046-1562757","XI-TXM4-F125","Wonderchef Reva Flat Aluminum Nonstick Dosa Tawa- 28cm, 4mm, Black","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","BARPETA ROAD","ASSAM","781315","1,105.36","0","0","132.64","0","0","-11.05","-168.00","-130.98","-35.40","0","892.57"
"14-Feb-2021 5:26:00 am UTC","15013882102","Refund
","404-5452680-5781917","QB-VUGQ-2XVB","Nokia 105 Single SIM (Pink)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","AHMEDABAD","GUJARAT","380016","-972.88","-33.90","33.90","-175.12","0","0","9.73","54.18","0","53.10","0","-1,030.99"
"14-Feb-2021 5:29:14 am UTC","15013882102","Order
","402-9445610-3561157","LP-5009-DWF6","Eureka Forbes Easy Clean Plus 800-Watt Vacuum Cleaner with Suction & Blower (Sliver) (Sliver)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","HYDERABAD","TELANGANA","500062","2,465.25","0","0","443.75","0","0","-24.65","-188.80","-152.22","-35.40","0","2,507.93"
"14-Feb-2021 5:29:24 am UTC","15013882102","Order
","405-9328950-0173111","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","DEHRADUN","UTTARAKHAND","248007","422.88","0","0","76.12","0","0","-4.23","-32.39","-88.50","-23.60","0","350.28"
"14-Feb-2021 5:29:33 am UTC","15013882102","Order
","402-9963643-2861903","GF-3KCS-4AID","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Black,","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BHOPAL","MADHYA PRADESH","462016","2,897.46","0","0","521.54","-14.49","-14.49","0","-221.90","-152.22","-35.40","0","2,980.50"
"14-Feb-2021 5:29:39 am UTC","15013896932","Order
","402-0311049-8642705","GF-3KCS-4AID","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Black,","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","NAVI MUMBAI","MAHARASHTRA","400708","2,897.46","0","0","521.54","0","0","-28.97","-221.90","-152.22","-35.40","0","2,980.51"
"14-Feb-2021 5:29:39 am UTC","15013896932","Order
","408-9362891-2133140","KH-7YIR-FZ5G","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Red, In","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","BETNOTI","ODISHA","757025","2,964.41","11.30","-11.30","533.59","0","0","-29.64","-227.02","-152.22","-35.40","0","3,053.72"
"14-Feb-2021 5:29:51 am UTC","15013882102","Order
","402-2981442-1574738","GF-3KCS-4AID","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Black,","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Delhi","DELHI","110017","2,897.46","0","0","521.54","0","0","-28.97","-221.90","-152.22","-35.40","0","2,980.51"
"14-Feb-2021 5:29:57 am UTC","15013882102","Order
","407-2840947-4601918","CJ-898G-RY8N","Bajaj Ivora Crimson Red 800 Watts, 3 Jar Mixer Grinder with Anti-Germ & Anti-dust Coating-Red","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","PUNE","MAHARASHTRA","411036","3,448.31","0","0","620.69","0","0","-34.48","-264.08","-187.62","-35.40","0","3,547.42"
"14-Feb-2021 5:36:30 am UTC","15013882102","Order
","406-1914640-6329129","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","HYDERABAD","TELANGANA","500091","866.07","0","0","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"14-Feb-2021 5:36:39 am UTC","15013882102","Order
","403-7634127-5669121","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Faridabad","Haryana","121003","866.07","0","0","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"14-Feb-2021 5:36:54 am UTC","15013882102","Order
","402-2081858-0055550","PB-57J5-FAK1","Bajaj 1.2 Liters Electric Kettle (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","PATNA","BIHAR","800016","1,342.37","33.90","-33.90","241.63","0","0","-13.42","-102.80","-109.74","-35.40","0","1,322.64"
"14-Feb-2021 5:36:58 am UTC","15013882102","Order
","403-5500370-9998709","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110049","866.07","0","0","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"14-Feb-2021 5:37:04 am UTC","15013882102","Order
","405-9568068-8839507","CJ-898G-RY8N","Bajaj Ivora Crimson Red 800 Watts, 3 Jar Mixer Grinder with Anti-Germ & Anti-dust Coating-Red","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Pune","MAHARASHTRA","411027","3,448.31","16.95","-16.95","620.69","0","0","-34.48","-264.08","-187.62","-35.40","0","3,547.42"
"14-Feb-2021 5:51:09 am UTC","15013896932","Order
","406-6827424-2570753","YP-O2HX-0VGK","Bajaj Glory 500-Watt Mixer Grinder with 3 Jars (White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","BAREILLY","UTTAR PRADESH","243006","1,961.86","33.90","-33.90","353.14","0","0","-19.62","-150.25","-152.22","-35.40","0","1,957.51"
"14-Feb-2021 5:51:43 am UTC","15013896932","Order
","404-5898626-3401131","JC-9ASN-OTGU","Sujata SuperMix SM Mixer Grinder, 900W, 3 Jars (White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Colvale","Goa","403513","4,394.07","0","0","790.93","0","0","-43.94","-397.70","-230.10","-35.40","0","4,477.86"
"14-Feb-2021 5:51:45 am UTC","15013882102","Order
","408-2817307-0453136","OM-HYM1-WOKT","Saregama Carvaan Mini 2.0- Music Player with Bluetooth/FM/AM/AUX (Sapphire Green)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Gurgaon","haryana","122001","1,686.44","0","0","303.56","0","0","-16.86","-199.60","-62.54","-35.40","0","1,675.60"
"14-Feb-2021 5:51:46 am UTC","15013896932","Order
","407-2316888-8999544","KH-7YIR-FZ5G","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Red, In","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","NEW DELHI","DELHI","110085","2,964.41","0","0","533.59","0","0","-29.64","-227.02","-152.22","-35.40","0","3,053.72"
"14-Feb-2021 5:52:04 am UTC","15013882102","Order
","404-7814683-7445129","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110019","803.57","0","0","96.43","0","0","-8.04","-69.03","-109.74","-17.70","0","695.49"
"14-Feb-2021 5:58:10 am UTC","15013882102","Order
","408-1112524-6496349","LP-5009-DWF6","Eureka Forbes Easy Clean Plus 800-Watt Vacuum Cleaner with Suction & Blower (Sliver) (Sliver)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","KALYAN","MAHARASHTRA","421004","2,465.26","33.90","-33.90","443.74","-12.33","-12.33","0","-188.80","-152.22","-35.40","0","2,507.92"
"14-Feb-2021 5:59:29 am UTC","15013882102","Refund
","404-6639331-7375505","KR-DP2R-TVB6","Maharaja Whiteline Powerclick + MX-204 750-Watt Mixer Grinder with 4 Jars (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","ALOK CITY","DADRA & NAGAR HAVELI","396230","-2,963.56","-33.90","33.90","-533.44","0","0","29.64","181.57","0","35.40","0","-3,250.39"
"14-Feb-2021 6:00:20 am UTC","15013882102","Order
","402-5563615-6811526","JC-9ASN-OTGU","Sujata SuperMix SM Mixer Grinder, 900W, 3 Jars (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","SIOLIM","GOA","403517","4,394.07","0","0","790.93","0","0","-43.94","-397.70","-230.10","-35.40","0","4,477.86"
"14-Feb-2021 6:00:27 am UTC","15013882102","Order
","405-6766260-1106708","FH-J7P1-31OU","Wonderchef Nutri-Pot 1000 Watts (Black/Silver)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560086","5,923.73","0","0","1,066.27","0","0","-59.24","-536.13","-244.26","-35.40","0","6,114.97"
"14-Feb-2021 6:00:27 am UTC","15013882102","Order
","403-1897503-7927518","UE-5UR6-IWLN","Usha Bandhan Straight Stitch Composite Sewing Machine (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","PUNE","MAHARASHTRA","412207","3,922.32","0","0","470.68","0","0","-39.22","-285.11","-329.22","-35.40","0","3,704.05"
"14-Feb-2021 6:15:33 am UTC","15013882102","Order
","402-0987719-8566766","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","KOLKATA","WEST BENGAL","700026","866.07","0","0","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"14-Feb-2021 6:15:57 am UTC","15013882102","Order
","403-8944437-1369150","KJ-3K1Q-G4HL","Prestige Svachh Aluminium Pressure Cooker, with Spillage Control, 5L","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BHUSAWAL","MAHARASHTRA","425201","1,767.86","0","0","212.14","0","0","-17.68","-163.55","-173.46","-35.40","0","1,589.91"
"14-Feb-2021 6:26:11 am UTC","15013882102","Order
","408-9820850-8723526","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CHANDIGARH","CHANDIGARH","160047","422.88","0","0","76.12","0","0","-4.23","-32.39","-88.50","-23.60","0","350.28"
"14-Feb-2021 6:26:50 am UTC","15013896932","Order
","405-9721331-4178763","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Kishangarh","RAJASTHAN","305801","422.88","33.90","-33.90","76.12","0","0","-4.23","-32.39","-88.50","-23.60","0","350.28"
"14-Feb-2021 6:32:29 am UTC","15013882102","Order
","402-6105808-8192330","panasonic_KX_TG3712SXB","Panasonic Single Line 2.4GHz KX-TG3712SXB Digital Cordless Telephone (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BHOPAL","MADHYA PRADESH","462023","3,474.58","0","0","625.42","-17.37","-17.37","0","-241.90","-88.50","-35.40","0","3,699.46"
"14-Feb-2021 6:35:12 am UTC","15013882102","Order
","405-5595497-2841926","4M-KK48-WR4U","Saregama Carvaan Mini 2.0 Bhakti- Music Player with Bluetooth/FM/AM/AUX (Orange)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","ZIRAKPUR","PUNJAB","140603","1,686.44","33.90","-33.90","303.56","0","0","-16.86","-199.60","-62.54","-35.40","0","1,675.60"
"14-Feb-2021 6:35:35 am UTC","15013896932","Refund
","171-8570401-1564332","16-4YHJ-CZRC","Bajaj Rex Mixer Grinder, 500W, 3 Jars (White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Jalore","RAJASTHAN","343022","-1,836.44","0","0","-330.56","0","0","18.36","140.64","0","35.40","0","-1,972.60"
"14-Feb-2021 6:50:11 am UTC","15013896932","Order
","403-2357910-6653151","IT-RHCZ-FEN9","Eureka Forbes AquaSure from Aquaguard Amaze RO+UV+MTDS 7L Water Purifier","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Banks gst:29AAACU0564G2ZC","KARNATAKA","571441","8,889.84","0","-416.10","1,525.26","-42.37","-42.37","0","-766.92","-272.58","-35.40","0","8,839.36"
