Product Name,Sku,Facility,Stock,Cost Price,Avg Cost Price,Mrp,Selling Price
"First Smile Born Baby Woolen Booties/Soft Cotton New Born Baby Gift Set/No Sock Bootie for Newborn Or Infant Boys & Girls,Baby Cotton Mitten Set Age: 0-6 Months",Fs_BabyVelvetBooties_Pink,Defective001,1,0,0,0,0
Morphy Richards Super Glide 2000-Watt Steam Iron (White/Blue),Mor-Ric-Sup-Gli-2000-Ste-Iron-Wht-Blue,Defective001,1,0,0,0,0
Eureka Forbes Quick Clean DX 1200-Watt Vacuum Cleaner for Home with Free Reusable dust Bag (Red),Eureka-forbes-dx-1200w-vacuum,Defective001,35,0,0,0,0
Eureka Forbes Trendy Zip 1000-Watt Vacuum Cleaner (Black/Red),1232,Defective001,7,0,0,0,0
"Eureka Forbes Aquasure from Aquaguard Aquaflo DX 18-Watt UV Water Purifier, White",1558,Defective001,7,0,0,0,0
Eureka Forbes Aquasure from Aquaguard Xtra Tuff 15-Liter Water Purifier,1589,Defective001,5,0,0,0,0
"Prestige Clip On Stainless Steel Kadai Pressure Cooker with Glass Lid Accessory, 2-Pieces, Metallic, 3.5 L",25654,Defective001,1,0,0,0,0
Panasonic SR-W18GH 270-Watt Automatic Cooker Warmer Combo Gift Pack (Gold),PAN-SR-W18GH-GLD,Defective001,1,0,0,0,0
Audio Technica Sonic Fuel ATH-CLR100ISBK in-Ear Headphones with Mic (Black),AUD-TEC-ATH-CLR-100-IS-BK,Defective001,2,0,0,0,0
"Eureka Forbes Aquasure from Aquaguard Amrit 20-Litre Water Purifier, Blue",Eur-For-Aqua-Amrit-20-l-blue,Defective001,9,0,0,0,0
Panasonic SR-WA22H(E) 5.4-Litre Automatic Rice Cooker (Apple Green),Pan-SR-WA22-H-E-5-4-Grn,Defective001,1,0,0,0,0
"First Smile Nappy Changing Mat/Sleeping Mats/Water Proof Bed Protector with Foam Cushioned for Baby, 4 Sheets (Multicolour, 3-6 Months)",X0011N9ZGX,Defective001,1,0,0,0,0
First Smile Nappy Changing Mat/Sleeping mats/Water Proof Bed Protector with Foam Cushioned for New Born Baby 4 Sheets. (0-3 Months),X0011OL2RH,Defective001,14,0,0,0,0
Bajaj Mixer GX8 DLX 750W,Baj-Mixer-GX8-DLX-750W,Defective001,16,0,0,0,0
Morphy Richards New Europa 800-Watt Espresso and Cappuccino 4-Cup Coffee Maker (Black),MORP-RICH-N-EUROPA-800W-ESPRE-CAPPUCCINO-4-CUP-COFFEE-MAKER-BLK,Defective001,8,0,0,0,0
Eureka Forbes Wet and Dry Bold 20-Litre 1400 watts Multi Function Vacuum Cleaner (Blue),Eur-eas-cln-plu-800-sil,Defective001,4,0,0,0,0
Eureka Forbes Wet and Dry Ultimo 20-Litre 1400 Watt Muilt Function Vacuum Cleaner (Red and Steel),Eur-For-Wet-Dry-Ult-20-lit-vac-cln-Red-stl,Defective001,9,0,0,0,0
"Eureka Forbes Aquasure from Aquaguard Aayush 22-Litre Water Purifier, Green",Eur-For-Aqua-Aayu-22-L-Wat-Pur-Grn,Defective001,3,0,0,0,0
"Eureka Forbes Aquasure from Aquaguard Smart 20-Watt UV Water Purifier, White",Eur-For-Aua-Smart-20-lil-Wht,Defective001,3,0,0,0,0
Wahl Ear Nose and Brow Personal Trimmer,wahl-05560-3824,Defective001,1,0,0,0,0
HUL Pureit Classic G2 UV+ 4 Stage Table Top/Wall Mountable White & Blue Tankless Water Purifier,AW-X99M-4FLD,Defective001,1,0,0,0,0
Wahl Puppy Shamoo,820002-024,Defective001,2,0,0,0,0
Wahl Flea & Tick Shampoo,820007-024,Defective001,1,0,0,0,0
Wahl Straight & Curl,WCHS4-1424,Defective001,2,0,0,0,0
Wahl Aqua Trim Trimmer,09899-024,Defective001,2,0,0,0,0
Wahl Stainless Steel Trimmer,09864-024,Defective001,8,0,0,0,0
Wahl Hair Dryer Max Pro 1600w,05050-024,Defective001,2,0,0,0,0
Wahl Complete Confidence Personal Grooming Kit,5604-324,Defective001,1,0,0,0,0
Wahl 09916-1724 Beard Rechargeable Trimmer (Multi Color),09916-1724,Defective001,6,0,0,0,0
Wahl 05606-024 Mustache & Beard Battery Trim (Black),05606-024,Defective001,2,0,0,0,0
Wahl Vaccum Trimmer,9870-100,Defective001,3,0,0,0,0
Wahl Easy Trim,9855-300,Defective001,2,0,0,0,0
Wahl Lithium Ion Trimmer (18 Cutting Lengths),01541-0011,Defective001,23,0,0,0,0
Wahl Beard Rechargeable Trimmer (Black),9916-2724,Defective001,3,0,0,0,0
Wahl Mini Groomsman Grooming 3 in 1 Trimmer (Black),5608-524,Defective001,4,0,0,0,0
Wahl Clean and Smooth Grooming Trimmer for Women (White),09865-2824,Defective001,1,0,0,0,0
Wahl Professional Super Taper Professional Corded Clipper,08466-424,Defective001,1298,0,0,0,0
Wahl Professional Animal Number 10 Ultimate Blade (1/16inch),2358-500,Defective001,2,0,0,0,0
"Wahl No Rinse Oatmeal Dog Shampoo, 210ml",820015-024,Defective001,1,0,0,0,0
Beetel X91 2.4Ghz Cordless Phone (Black),Beetel-X91-2.4Ghz-Cordless-Blk,Defective001,1,0,0,0,0
"Wonderchef Luxe Multicook 1.2 L Kettle, Red",Wonder-luxe-multicook-1.2L-Kettle-Red,Defective001,1,0,0,0,0
Wahl Pure Confidence,09865-2924,Defective001,1,0,0,0,0
Wahl Easy Groom(Kit),09893-024,Defective001,2,0,0,0,0
Wonderchef Deep Pocket 830 Watts Sandwich Maker (White/Purple),Wond-Deep-Pocket-830-Sandwich-Wht-Purple,Defective001,1,0,0,0,0
Eureka Forbes Multi Clean Vacuum Cleaner,Eureka-Fob-Multi-Clean-Vaccum-Cleaner,Defective001,9,0,0,0,0
Eureka Forbes Aquasure from Aquaguard Amaze 7-litres Table Top/Wall Mountable RO+UV+MTDS Grey Water Purifier,Eureak-Fob-Amaze-7L-Water-Purifier,Defective001,4,0,0,0,0
First Smile Baby Kids Soft Cotton Track Pants Pajama with Ribs Multicolor Unisex (Pack of 6) (3-4 Years),Fs-3-4 years,Defective001,1,0,0,0,0
First Smile Baby Kids Soft Cotton Track Pants Pajama with Ribs Multicolor Unisex Pack of 6 (2-2.5 Years),FS-pantswithribs-2-2.5,Defective001,1,0,0,0,0
First Smile Baby One Sided Cotton Plastic Sheet Pack of 4Pcs (Assorted) (3-6 Months),Fs-ChangingMats-3.,Defective001,10,0,0,0,0
First Smile Baby Super Soft Sleeping Cum Carry Bag with Fur for Newborn | Quick Dry | Comfortable (Light Blue),Fs-Sleepingcumcarrybag-LightBlue,Defective001,2,0,0,0,0
First Smile Baby Super Soft Sleeping Cum Carry Bag with Fur for Newborn | Quick Dry | Comfortable (Light Pink),Fs-Sleepingcumcarrybag-LightPink,Defective001,14,0,0,0,0
First Smile Multicoloured Cotton Baby Bibs with Titch Button | Soft Cotton | Comfortable | for Newborn | Infant | Washable for Babies (Multi (Set of 3) (28 * 45 cm)),Fs-CottonBibs-Packof3,Defective001,1,0,0,0,0
First Smile Multicoloured Cotton Baby Bibs with Titch Button | Soft Cotton | Comfortable | for Newborn | Infant | Washable for Babies (Multi Cartoon Print (Set of 6)),Fs-CottonBibsMulti-Packof6,Defective001,1,0,0,0,0
First Smile Multicoloured Cotton Baby Bibs with Titch Button | Soft Cotton | Comfortable | for Newborn | Infant | Washable for Babies (Multi Happy Print (Set of 3)),Fs-CottonBibs-Pkof3,Defective001,1,0,0,0,0
"First Smile Nappy Changing Mat Water Proof Bed Protector with Foam Cushioned for Newborn Baby, 0-6 Months (Multicolour) - Pack of 4",Fs-Nappy-pc4,Defective001,33,0,0,0,0
First Smile New Born Baby Gift Pack All Season use 3 in 1 Baby Wrapper or Blanket Cum Sleeping Bag Cum Bedding (Pink),Fs-Sleeping Bag-PINK-Gift-Pack,Defective001,7,0,0,0,0
First Smile New Born Baby Gift Pack All Season use 3 in 1 Baby Wrapper or Blanket Cum Sleeping Bag Cum Bedding (Yellow),Fs-Sleeping Bag-YELLOW,Defective001,2,0,0,0,0
"First Smile Newborn baby Bedding mattress with Mosquito Net, Cotton Sheet with Plastic Support Pack of 4 pcs, Quick Dry Pack of 2 pcsQuick Dry | Reusable | Soft Cotton | Comfortable | For Newborn | Infant | Washable For Babies (0-12 Months)",Fs-BeddingMattress,Defective001,1,0,0,0,0
"First Smile Newborn Baby Cotton Cloth Reusable Nappies in Quick Dry | Reusable | Soft Cotton | Comfortable | for Newborn | Infant | Washable for Babies (Pack of 12, 3-6 Months)",Fs-Cott12-3to6,Defective001,2,0,0,0,0
"First Smile Newborn Baby Cotton Hosiery Nappies,(Colour and Design May Vary) - Pack of 12 (3-6 Months)",Fs-HosNap12-3to6,Defective001,1,0,0,0,0
First Smile Newborn Baby Quick-Dry Bed Protector Sheet (Pack of 1) (Red),FS-Quick Dry Sheet-Red,Defective001,7,0,0,0,0
FirstÂ Smile Newborn Baby Bedding Mattress with PillowÂ Soft Cotton | Comfortable | for Newborn | Infant | Washable for Babies,Fs-BeddingRed-0-3,Defective001,2,0,0,0,0
"First Smile Baby Boy's and Girl's Soft Fabric Regular Fit Rompers with Hood (White, 3-6 Months) - Pack of 3",Fs-romper3pc3-6,Defective001,1,0,0,0,0
First Smile Baby One Sided Cotton Plastic Sheet Pack of 4Pcs (Assorted) (0-3 Months),Fs-ChangingMats-2-0to3months,Defective001,15,0,0,0,0
First Smile Baby Super Soft Sleeping Cum Carry Bag with Fur for Newborn | Quick Dry | Comfortable (Blue),Sleepingcumcarrybag-Blue,Defective001,1,0,0,0,0
First Smile New Born Baby Gift Pack All Season use 3 in 1 Baby Wrapper or Blanket Cum Sleeping Bag Cum Bedding (Red),Sleeping bag-Red,Defective001,15,0,0,0,0
First Smile Newborn Baby Quilted Cotton Bib with Plastic Layer Backing Pack of 3 pcs Quick Dry | Reusable | Soft Cotton | Comfortable | for Newborn | Infant | Washable for Babies,Fs-Bibs6pcQuilted-6-9,Defective001,1,0,0,0,0
"First Smile Nappy Changing Mat Water Proof Bed Protector with Foam Cushioned for Newborn Baby, 0-3 Months (Multicolour) - Pack of 4",FS-NappyChanging-0to3months,Defective001,13,0,0,0,0
Bajaj ATX 3 750-Watt Auto Pop-up Toaster (Black/Silver),Bajaj-ATX3-Toaster-Blk-Silv,Defective001,1,0,0,0,0
