"snapshot-date","sku","fnsku","asin","product-name","condition","sales-rank","product-group","total-quantity","sellable-quantity","unsellable-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","units-shipped-last-24-hrs","units-shipped-last-7-days","units-shipped-last-30-days","units-shipped-last-90-days","units-shipped-last-180-days","units-shipped-last-365-days","weeks-of-cover-t7","weeks-of-cover-t30","weeks-of-cover-t90","weeks-of-cover-t180","weeks-of-cover-t365","num-afn-new-sellers","num-afn-used-sellers","currency","your-price","sales-price","lowest-afn-new-price","lowest-afn-used-price","lowest-mfn-new-price","lowest-mfn-used-price","qty-to-be-charged-ltsf-12-mo","qty-in-long-term-storage-program","qty-with-removals-in-progress","projected-ltsf-12-mo","per-unit-volume","is-hazmat","in-bound-quantity","asin-limit","inbound-recommend-quantity","qty-to-be-charged-ltsf-6-mo","projected-ltsf-6-mo"
"2021-02-13T18:30:00+00:00","Fs_TrackPants_1-2Yrs_new","X0011M2BW9","B07TYPR97P","First Smile Baby Combo of Multicolored Boys/Girls Track Pant/Baby Pajama - Pack of 6 (1-2 Years)","New","0","gl_baby_product","1","1","0","0","0","0","0","1","0","0","0","0","0","0","Infinite","Infinite","Infinite","Infinite","Infinite","1","0","INR","620.00","620.00","620.00","0.00","0.00","0.00","0","0",,"0.00","2797.866152","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","Fs_TrackPants_0-6_new","X0011M2AZH","B07TVJDX5X","First Smile Baby Combo of Multicolored Boys/Girls Track Pant/Baby Pajama - Pack of 6 (0-6 Months)","New","0","gl_baby_product","2","2","0","0","1","1","0","0","0","0","0","0","0","0","Infinite","Infinite","Infinite","Infinite","Infinite","1","0","INR","520.00","520.00","520.00","0.00","0.00","0.00","0","0",,"0.00","197.954513","N","0","0","0","1","17.70"
"2021-02-13T18:30:00+00:00","FS_elasticpajama_new","X0011LIOI5","B07TLV158J","First Smile Baby Kids Soft Cotton Track Pants Pajama with Soft Elasticated Waistband for Kids Multicolor (Pack of 6) (3-6 Months)","New","0","gl_baby_product","1","1","0","0","1","0","0","0","0","0","0","0","0","0","Infinite","Infinite","Infinite","Infinite","Infinite","1","0","INR","499.00","499.00","499.00","0.00","0.00","0.00","0","0",,"0.00","1640.367621","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","FS_elasticpajama(6-12)_new","X0011LIOHV","B07TR4KZGL","First Smile Baby Kids Soft Cotton Track Pants Pajama with Soft Elasticated Waistband for Kids Multicolor (Pack of 6) (6-12 Months)","New","0","gl_baby_product","1","1","0","1","0","0","0","0","0","0","0","1","1","1","Infinite","Infinite","13.0","26.0","52.0","1","0","INR","499.00","499.00","499.00","0.00","0.00","0.00","0","0",,"0.00","197.954513","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","3-4 years","X0011KKDFX","B07TWL9KW9","First Smile Baby Kids Soft Cotton Track Pants Pajama with Ribs Multicolor Unisex (Pack of 6) (3-4 Years)","New","0","gl_baby_product","3","3","0","0","1","2","0","0","0","0","0","0","0","0","Infinite","Infinite","Infinite","Infinite","Infinite","1","0","INR","599.00","599.00","599.00","0.00","0.00","0.00","0","0",,"0.00","197.954513","N","0","0","0","2","35.40"
"2021-02-13T18:30:00+00:00","2-3 years","X0011KKDFN","B07TWL4FK3","First Smile Baby Kids Soft Cotton Track Pants Pajama with Ribs Multicolor Unisex (Pack of 6) (2-3 Years)","New","0","gl_baby_product","1","1","0","0","1","0","0","0","0","0","0","0","0","1","Infinite","Infinite","Infinite","Infinite","52.0","1","0","INR","599.00","599.00","599.00","0.00","0.00","0.00","0","0",,"0.00","197.954513","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","40053","X0011HPWEN","B00J4YGIIG","Gas Stove Two Burner Agni","New","88549","gl_kitchen","11","11","0","11","0","0","0","0","0","0","0","4","48","50","Infinite","Infinite","35.75","5.9583333333333","11.44","5","0","INR","2880.00","2880.00","2615.00","0.00","2890.00","0.00","0","0",,"0.00","34701.388164","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","H3-MQ7E-4G7S","X0011DGJ8Z","B071113J7M","Sujata Powermatic Plus 900 Watts Juicer Mixer Grinder","No Listing","569","gl_kitchen","1","0","1","0","0","0","0","0","1","61","212","501","929","1335","0.0","0.0","0.0","0.0","0.0","8","0","INR","0.00","0.00","5598.00","0.00","4600.00","0.00","0","0",,"0.00","48754.60115","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","zeb_peace_wireless_earphone","X00119TFFN","B07KK9YBLT","Zebronics Wireless Earphone with Bluetooth, Call Function, Sporty Design and Voice Assistant - Peace","No Listing","0","gl_electronics","1","0","1","0","0","0","0","0","0","0","0","0","0","0","Infinite","Infinite","Infinite","Infinite","Infinite","2","0","INR","0.00","0.00","1299.00","0.00","1299.00","0.00","0","0",,"0.00","748.201638","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","60018331","X00119IBWB","B00XVQ0J8I","Royal Velvet Non-Stick 5-Piece Cookware Set (Fry Pan with Lid, Wok, Dosa Tawa, Mini Fry Pan) Induction Bottom, Soft-Touch Handles, Virgin Grade Aluminium, PFOA/Heavy Metals Free, 3 mm, 2 Years","New","4662","gl_kitchen","49","49","0","49","0","0","0","0","2","14","86","112","252","303","3.5","2.27906976744186","5.6875","5.0555555555556","8.4092409240924","4","0","INR","2619.00","2619.00","2619.00","0.00","3299.00","0.00","0","0",,"0.00","22548.577546","N","0","0","0","0","0.00"
