"month","fnsku","sku","product-name","average-quantity","end-quantity","fulfillment-center-id","detailed-disposition","country"
"12/2020","X0016DWD3F","3N-A2NC-9JIF","Wahl Professional Moser 1400-0016 Hair Clipper (Red)","10.39","11","BOM7","SELLABLE","IN"
"12/2020","X0016DWD3F","3N-A2NC-9JIF","Wahl Professional Moser 1400-0016 Hair Clipper (Red)","1.55","0","*XFR","SELLABLE",
"12/2020","X00167BNMX","78-9A82-LQ6D","Maharaja Mixer Grinder, 550W (Black Grey)","0.06","0","QWTT","SELLABLE","IN"
"12/2020","X0015NYIJX","C2-4K21-SIEQ","Tefal 5 Second Manual Chopper Vegetable Cutter (Brown) 900ml","0.97","0","BLR7","SELLABLE","IN"
"12/2020","X0015NWP4D","LC-EQQQ-GJ3V","Maharaja Whiteline MX-220 1000 W Ultramax HD 3 Stainless Steel Jar Mixer Grinder (Black with Chrome Finish)","0.13","0","QWTT","SELLABLE","IN"
"12/2020","X0015MUDXT","8P-N1F1-WIZ7","Panasonic SR-WA18 E 4.4-Litre Automatic Rice Cooker (White)","1.03","0","QWTT","SELLABLE","IN"
"12/2020","X0015CA37Z","MO-X9XW-JXJ7","Wahl 08591-1024 Wahl Designer Cordless & Corded Clipper, Black (Black)","2.45","2","BOM7","SELLABLE","IN"
"12/2020","X0015CA37Z","MO-X9XW-JXJ7","Wahl 08591-1024 Wahl Designer Cordless & Corded Clipper, Black (Black)","0.58","0","*XFR","SELLABLE",
"12/2020","X0015B5PC9","4H-0SN7-8R6S","Wonderchef - 63152405 Turbo Chopper and Citrus Juicer, Black","1.71","0","QWTT","SELLABLE","IN"
"12/2020","X0014TS7XL","Q2-CWUY-QYH4","Prestige Tattva Copper Bedroom Bottle 01-900 ml","8.65","7","SIDA","SELLABLE","IN"
"12/2020","X0014KXSQV","WN-8CTJ-TN3B","Wonderchef Nutri-Blend Mixer Grinder, 400W, 3 Jars (Black)","0.06","0","BOM7","SELLABLE","IN"
"12/2020","X00142SAZ3","0H-4D7D-C3FJ","Eureka Forbes Aquasure from Aquaguard Aquaflo DX Wall Mountable UV White 120 L/hr Water Purifier","0.16","0","QWTT","SELLABLE","IN"
"12/2020","X00141ES0P","B7-B6EI-FENR","Wonderchef Granite Aluminum Nonstick Grill Pan- 24cm, 1.8L, 3.5mm, Grey","0.61","0","SIDA","SELLABLE","IN"
"12/2020","X0013PJ1BX","PM-DRQC-NLUA","Wonderchef Power Glass Top 3 Burner Gas Stove, Manual Ignition, Black","0.77","0","QWTT","SELLABLE","IN"
"12/2020","X0013PIYKH","8O-3FFJ-RWMO","Wonderchef - 63152431 Dosa Make,30cm, 910-Watt(Black)","0.29","0","SIDA","SELLABLE","IN"
"12/2020","X0013MP1XD","VG-I846-ID4B","Wonderchef Nutri-Blend Compact FP (Mixer, Grinder, Chopper, Food Processor) 400W, 4 Jars – Black","0.52","0","QWTT","SELLABLE","IN"
"12/2020","X00125JSP3","S4-RHGK-GD53","Bajaj New Majesty Instant 3 Litre, 3 KW Verical Water Heater (White)","0.03","0","BOM7","SELLABLE","IN"
"12/2020","X001176WID","HP-SMF1-V1R4","Bajaj Glory 500-Watt Mixer Grinder with 3 Jars (White)","12.77","12","BLR7","SELLABLE","IN"
"12/2020","X00115UEYD","39-B7FP-GHKY","Panasonic SR-WA10 2.7 L Rice Cooker, Red","0.39","0","QWTT","SELLABLE","IN"
"12/2020","X00101HRTN","SR-Y18FHS(E)","Panasonic SR-Y18FHS 660-Watt Automatic Electric Cooker 4.4 Litre with Non Stick Cooking Pan and Steamer, Metallic Silver/Burgundy","0.45","0","QWTT","SELLABLE","IN"
"12/2020","X000ZRWDQ5","QS-RC7R-VF83","Tefal Simply Chef Non-Stick Fry Pan, 28cm (Rio Red)","0.13","0","BLR7","SELLABLE","IN"
"12/2020","X000YAD5V5","IV-K756-J3TS","Prestige Stainless Steel Popular 7.5 LTR","0.23","0","SIDA","SELLABLE","IN"
